,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
16612,59,11,55,7,307,32,281,1875,149,3326,117,8,109,1
16613,78,43,37,4,483,312,170,3207,4185,1156,30,14,20,1
16614,114,82,35,3,277,221,60,22947,175650,305,77,70,7,1
16615,15,14,6,5,30,20,11,1433,788,644,9,6,3,1
16616,505,275,232,2,3068,2618,450,23319,11851,12046,67,62,5,1
16617,32,3,31,2,249,5,246,1529,38,3498,90,2,88,1
16618,29,7,24,2,45,13,33,1054,94,1009,9,3,6,1
16619,173,139,48,14,735,625,111,21263,21749,483,61,18,43,1
16620,8,8,1,1,26,26,1,121,169,16,19,18,1,1
16621,39,21,19,1,97,27,73,3031,4436,167,32,8,24,1
16622,25,4,23,2,168,14,161,4223,792,9615,93,8,85,1
16623,1,1,1,1,1,1,1,21,10,20,3,1,2,1
16624,32,20,17,5,505,407,108,1819,2042,265,38,10,28,1
16625,15,2,15,2,57,16,45,1481,107,5273,53,4,49,1
16626,5,1,5,1,31,1,31,54,3,56,11,1,10,1
16627,28,16,13,1,150,136,16,689,670,2634,23,8,15,1
16628,54,3,9,3,318,18,36,1296,81,134,2,1,1,1
16629,5,1,5,1,8,1,8,14,3,11,5,1,4,1
16630,11,1,11,1,27,1,27,107,3,103,14,1,13,1
16631,54,23,33,2,94,41,54,558,274,380,34,8,26,1
16632,325,204,126,5,1566,1410,156,10509,8168,4207,23,9,14,1
16633,14,14,2,2,134,134,4,570,558,8,2,1,1,1
16634,8,1,8,1,10,1,10,100,3,99,10,1,9,1
16635,26,1,26,1,125,1,125,4498,88,47712,106,1,105,1
16636,90,12,79,1,98,20,79,9389,4482,7339,22,16,6,1
16637,67,44,29,6,636,237,403,2680,5239,1051,37,19,18,1
16638,153,2,153,2,937,11,928,5620,77,18063,193,10,183,1
16639,15,2,15,2,57,16,45,1481,107,5273,53,4,49,1
16640,164,92,129,57,733,230,553,10634,5221,31616,214,63,151,1
16641,2,2,1,1,28,20,10,76,53,49,7,5,2,1
16642,4,3,3,3,13,7,7,74,77,24,3,2,1,1
16643,16,8,9,1,25,8,18,460,1454,183,22,12,10,1
16644,54,1,54,1,654,2,653,5461,4,22321,277,1,276,1
16645,38,38,1,1,240,240,1,1347,1434,3,38,37,1,1
16646,44,1,44,1,144,2,143,1271,16,6953,59,1,58,1
16647,25,24,3,2,114,112,3,528,521,8,8,7,1,1
16648,10,10,1,1,63,63,1,1840,3527,4,3,2,1,1
16649,405,170,238,3,2087,170,1919,257072,232750,133373,496,1,495,1
16650,144,32,133,21,721,185,569,7304,2243,17331,361,78,285,1
16651,22,14,10,2,54,30,25,296,375,90,12,7,5,1
16652,174,110,130,66,709,468,392,13644,5940,35198,191,30,161,1
16653,6,1,6,1,40,1,40,67,2,64,7,1,6,1
16654,45,24,27,6,68,37,32,77,39,40,6,1,5,1
16655,20,3,20,3,137,7,133,402,32,423,19,2,17,1
16656,4,2,1,1,4,2,1,18,6,2,2,1,1,1
16657,25,19,9,3,128,114,14,27753,108077,29006,21,16,5,1
16658,150,1,150,1,207,1,207,244649,3,256992,189,1,188,1
16659,7,5,3,1,42,38,4,445,357,11,6,5,1,1
16660,4,4,1,1,28,28,1,110,98,11,2,1,1,1
16661,10,6,8,4,39,24,16,159,127,31,8,3,5,1
16662,6,1,6,1,12,1,12,839,3,5124,24,1,23,1
16663,39,39,1,1,680,678,3,4332,6600,94,67,66,1,1
16664,7,2,6,1,20,5,16,193,29,286,20,4,16,1
16665,46,23,25,2,110,79,33,2911,2784,132,25,2,23,1
16666,11,1,11,1,21,1,21,38,3,37,11,1,10,1
16667,1,1,1,1,1,1,1,18,9,9,2,1,1,1
16668,5,3,3,1,7,5,4,24,13,10,4,2,2,1
16669,489,480,117,108,2669,2634,147,39703,39221,473,51,46,5,1
16670,8,4,7,3,13,4,11,39,8,29,3,1,2,1
16671,7,4,5,2,17,5,13,61,11,49,2,1,1,1
16672,8,8,1,1,86,86,1,169,166,2,3,2,1,1
16673,15,12,7,4,102,67,36,328,194,182,28,7,21,1
16674,87,3,85,1,156,9,148,922,24,1288,39,2,37,1
16675,27,26,3,2,132,129,5,1161,2076,96,34,31,3,1
16676,76,76,2,2,153,148,7,376,222,351,13,10,3,1
16677,8,2,3,1,36,2,17,52,6,21,4,2,2,1
16678,1,1,1,1,9,1,9,15,3,14,11,1,10,1
16679,13,9,6,2,21,15,7,96,47,48,4,3,1,1
16680,25,20,7,2,50,37,15,151,104,49,10,6,4,1
16681,8,7,3,2,17,11,7,162,168,24,6,5,1,1
16682,4,3,3,2,107,104,4,888,2362,20,27,25,2,1
16683,9,4,7,2,25,13,13,110,56,63,14,5,9,1
16684,141,2,140,1,402,2,401,3147,10,3168,67,1,66,1
16685,119,10,113,4,3295,129,3194,10131,1069,12481,61,11,50,1
16686,23,4,21,2,84,28,57,303,121,181,3,2,1,1
16687,1,1,1,1,14,13,2,79,87,50,8,5,3,1
16688,150,1,150,1,834,8,828,14240,90,16088,107,4,103,1
16689,28,9,21,2,329,23,307,2810,302,8566,54,5,49,1
16690,107,105,5,5,925,918,16,9944,13351,75,7,5,2,1
16691,3,3,2,2,29,11,19,75,50,24,5,1,4,1
16692,28,12,21,5,344,181,164,1445,1325,549,38,33,5,1
16693,26,4,24,2,259,11,253,3004,503,3945,53,2,51,1
16694,94,2,46,1,2802,148,1313,9139,1853,3231,42,1,41,1
16695,6,5,4,3,21,9,13,241,256,89,4,2,2,1
16696,34,18,21,5,129,51,79,1429,339,1601,48,14,34,1
16697,2,2,1,1,68,62,10,162,161,16,10,8,2,1
16698,49,46,5,2,245,239,8,998,614,1082,5,2,3,1
16699,66,62,5,3,445,436,9,7506,7673,45,35,31,4,1
16700,22,21,3,2,70,64,7,788,1555,93,19,17,2,1
16701,2,1,2,1,4,2,3,10,4,5,4,1,3,1
16702,317,4,316,3,2012,6,2009,73039,152,1261908,1119,2,1117,1
16703,4,3,2,1,12,7,7,37,11,24,4,2,2,1
16704,1,1,1,1,1,1,1,7,3,6,3,1,2,1
16705,464,464,2,2,5900,5898,3,34589,83563,23,166,165,1,1
16706,59,3,59,3,946,9,939,4357,203,8730,138,8,130,1
16707,30,2,5,2,1140,2,190,2730,4,645,23,2,22,1
16708,17,11,9,4,60,42,25,1138,1537,1340,16,9,7,1
16709,6,4,6,4,17,13,8,239,133,152,3,2,1,1
16710,10,7,6,3,21,12,9,139,17,142,8,6,2,1
16711,23,3,23,3,46,7,40,340,32,307,4,2,2,1
16712,48,2,48,2,426,3,423,665,7,701,66,1,65,1
16713,1,1,1,1,9,1,9,23,4,29,10,1,9,1
16714,3,1,3,1,6,1,6,55,24,30,7,1,6,1
16715,158,103,66,11,587,406,185,3481,1733,1943,78,63,15,1
16716,12,5,9,2,93,70,23,12038,34166,5833,10,6,4,1
16717,137,74,67,5,717,399,319,25906,23917,2664,60,33,27,1
16718,210,94,182,67,831,455,457,7665,10672,5291,260,142,121,1
16719,30,25,7,2,98,78,21,9426,1218380,61,285,273,12,1
16720,5,1,5,1,8,1,8,14,3,11,5,1,4,1
16721,172,1,172,1,1234,3,1231,15209,325,20275,218,4,214,1
16722,8,1,8,1,10,1,10,100,3,99,10,1,9,1
16723,1,1,1,1,29,1,29,88,10,84,4,1,3,1
16724,2,1,2,1,23,4,20,55,13,49,14,2,12,1
16725,80,3,80,3,182,4,180,548,7,539,14,3,11,1
16726,285,2,284,1,1769,4,1766,36420,164,44805,97,2,95,1
16727,12,10,5,3,43,30,14,169,170,45,13,11,2,1
16728,5,1,5,1,38,8,27,185,61,90,6,1,5,1
16729,7,2,6,1,18,2,17,95,219,20,9,3,6,1
