,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
13606,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,23,12,14,3,128,38,91,1306,894,657,6,1,5,1
13607,1,0,1,8,1,8,1,1,1,8,0,8,9,1,9,1,428,2,428,2,2314,24,2292,53431,328,139099,309,1,308,1
13608,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,5,5,1,1,12,12,1,89,88,38,3,2,1,1
13609,1,1,0,3,2,1,1,0,0,3,3,0,4,3,1,0,6,5,3,2,18,9,10,278,62,617,9,4,5,1
13610,1,1,1,1,1,0,1,0,0,1,1,0,2,2,1,1,176,175,3,2,280,268,13,1221,1747,87,25,24,1,1
13611,1,1,1,3,2,1,1,1,1,3,2,1,4,3,2,1,28,27,9,8,103,82,21,3303,6407,239,65,52,14,1
13612,2,2,1,6,6,0,1,0,0,7,7,0,8,8,1,1,7,6,2,1,28,16,13,100,74,43,17,16,1,1
13613,0,0,0,10,2,10,0,0,0,10,2,8,5,1,5,1,15,8,9,2,128,116,14,623,1190,510,24,12,12,1
13614,0,0,0,22,2,20,0,0,0,22,2,20,11,1,10,0,38,1,38,1,286,5,283,2626,262,6142,62,2,60,1
13615,0,0,0,3,1,2,1,1,1,2,0,2,3,1,2,0,3,3,2,2,8,6,3,64,42,31,8,3,5,1
13616,1,1,0,1,1,1,2,1,1,0,0,0,2,2,1,1,134,133,2,1,479,476,4,9170,22957,52,88,86,2,1
13617,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,62,61,2,1,143,141,3,354,319,34,5,4,1,1
13618,0,0,0,38,2,38,0,0,0,38,2,36,19,1,19,1,52,2,52,2,481,68,419,4702,564,13646,153,5,148,1
13619,0,0,0,3,2,1,1,0,0,2,2,0,3,2,1,0,1,1,1,1,11,11,1,27,33,3,7,6,1,1
13620,4,1,4,16,0,16,1,1,1,19,0,19,20,1,20,1,108,8,104,7,645,111,531,5539,393,6069,113,6,107,1
13621,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,5,5,1,1,14,13,5,119,103,31,14,8,6,1
13622,0,0,0,6,1,6,1,1,1,5,0,5,6,1,6,1,22,3,21,2,67,13,56,835,188,646,17,3,14,1
13623,1,0,1,2,1,1,1,1,1,2,0,2,3,1,2,0,6,1,6,1,21,5,18,78,7,73,9,1,8,1
13624,1,0,1,5,4,2,1,0,0,5,4,1,6,4,3,1,103,9,96,2,394,55,341,1015,263,976,41,8,33,1
13625,0,0,0,8,7,1,1,0,0,7,7,0,8,7,1,0,6,6,1,1,28,26,3,158,1169,4,31,28,3,1
13626,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,1,1,1,1,3,1,3,8,3,5,2,1,1,1
13627,0,0,0,19,1,18,1,1,1,18,0,18,19,1,18,0,5,1,5,1,50,1,50,124,4,231,24,1,23,1
13628,1,1,1,18,1,17,1,1,0,18,1,17,19,2,18,1,38,11,37,10,1899,131,1791,9870,1035,14163,164,3,162,1
13629,1,1,0,2,0,2,2,1,1,1,0,1,3,1,2,0,18,10,10,2,88,56,34,1666,2541,89,15,12,3,1
13630,2,1,1,1,1,0,2,1,1,1,1,0,3,2,1,0,11,10,2,1,313,312,2,487,558,19,20,19,1,1
13631,3,1,3,0,0,0,1,1,0,2,0,2,3,1,3,1,22,3,20,1,30,5,27,2433,718,1849,5,1,4,1
13632,3,1,2,20,0,20,2,1,1,21,0,21,23,1,22,0,28,5,27,4,224,7,219,1489,52,2274,73,3,70,1
13633,8,0,8,27,1,26,1,1,1,34,0,34,35,1,34,0,18,2,18,2,72,2,71,608,10,708,48,2,46,1
13634,2,1,2,6,5,1,1,1,1,7,5,2,8,6,3,1,36,16,22,2,134,96,39,1035,635,1198,28,10,18,1
13635,1,0,1,6,1,6,1,1,1,6,0,6,7,1,7,1,337,3,337,3,1818,26,1799,46396,900,137392,227,4,223,1
13636,2,1,1,1,0,1,2,1,1,1,0,1,3,1,2,0,15,4,12,2,52,18,36,1114,328,914,4,2,2,1
13637,7,0,7,107,1,106,1,1,1,113,0,113,114,1,113,0,1033,1,1033,1,3116,3,3114,29389,10,83942,933,1,932,1
13638,1,1,0,1,1,1,1,1,0,1,1,0,2,2,1,1,8,5,5,2,10,6,5,149,29,167,6,3,3,1
13639,1,0,1,8,1,8,2,1,1,7,0,7,9,1,9,1,29,4,27,2,485,8,480,5057,1154,10585,100,3,97,1
13640,2,1,1,1,0,1,1,1,1,2,0,2,3,1,2,0,4,2,3,1,9,5,5,294,222,71,4,1,3,1
13641,3,0,3,11,1,10,1,1,1,13,0,13,14,1,13,0,99,12,89,2,288,22,269,1641,194,2096,50,4,46,1
13642,1,0,1,2,1,1,2,1,1,1,0,1,3,1,2,0,17,6,13,2,33,12,24,95,20,73,10,1,9,1
13643,0,0,0,2,2,1,1,1,0,1,1,0,2,2,1,1,2,1,2,1,14,8,9,100,235,205,34,23,11,1
13644,2,2,1,8,8,1,0,0,0,10,10,0,10,10,2,2,46,44,3,1,190,185,6,1801,2595,866,88,81,7,1
13645,2,1,2,2,2,0,2,1,1,2,2,0,4,3,2,1,114,82,35,3,277,221,60,22947,175650,305,77,70,7,1
13646,1,1,0,13,12,1,1,0,0,13,13,0,14,13,1,0,16,15,1,1,43,41,2,265,283,15,18,17,1,1
13647,2,1,1,38,3,36,0,0,0,40,4,36,40,4,37,1,1456,673,70,15,5152,1335,1456,307970,141807,100679,640,82,559,1
13648,2,2,0,1,0,1,2,1,1,1,1,0,3,2,1,0,54,51,5,2,238,234,6,5331,7941,1000,41,40,1,1
13649,1,1,0,2,1,1,1,0,0,2,2,0,3,2,1,0,3,3,2,2,8,8,3,201,341,94,9,7,2,1
13650,3,0,3,24,1,24,1,1,1,26,0,26,27,1,27,1,34,2,34,2,154,4,151,881,48,1021,55,1,54,1
13651,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,24,3,4,3,436,5,65,5383,60,1099,8,3,7,1
13652,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,30,4,3,2,162,26,5,1194,173,24,3,1,2,1
13653,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,140,18,123,1,648,35,614,1431,139,1291,6,1,5,1
13654,1,0,1,2,1,1,2,1,1,1,0,1,3,1,2,0,233,20,220,7,466,149,324,49710,17989,77272,183,3,180,1
