,Unnamed: 0,pr_id,ms_id,has_conflict,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source
15493,15494,13,63821,0,2,2,1,34,34,0,1,0,0,35,35,0,36,36,1,1,78,77,1,0,852,851,1,11519,28073,85,231,231,1
31784,31785,23,98337,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,3,3,0,1,1,0
48319,48320,48,97015,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,2,2,0,1,1,0
65973,65974,79,111600,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,13,13,0,0,26,26,0,1150,1150,0,1,1,0
73570,73571,99,127303,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,6,0,6,0,146,0,146,544,0,544,1,0,1
25983,25984,19,48703,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,5,0,5,0,29,0,29,38,0,38,6,0,6
15587,15588,13,64199,0,1,0,1,2,1,1,2,1,1,1,0,1,3,1,2,0,3,1,2,0,47,24,23,82,40,42,4,1,3
33020,33021,23,115409,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,3,0,3,29,0,29,1,0,1
5951,5952,9,8970,0,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,0,2,2,0,0,4,4,0,11,22,0,1,1,0
58452,58453,68,34835,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,8,8,0,92,92,0,1,1,0
59246,59247,70,62539,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,12,10,3,1,17,10,7,58,35,23,3,1,2
63939,63940,78,103379,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1
30046,30047,23,21534,0,2,2,0,4,4,0,6,0,6,0,0,0,6,6,0,0,2,2,0,0,13,13,0,14,16,0,14,14,0
40665,40666,40,2120,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0
1062,1063,2,32700,0,2,2,0,2,2,0,4,0,4,0,0,0,4,4,0,0,27,27,0,0,162,162,0,3165,3358,0,8,8,0
64795,64796,78,108075,0,0,0,0,3,2,1,1,0,0,2,2,0,3,2,1,0,3,2,1,0,3,2,1,4,3,1,3,2,1
62000,62001,76,121187,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,2,2,0,7,7,0,2,2,0
8729,8730,9,69632,0,0,0,0,4,4,0,4,0,4,0,0,0,2,2,0,0,3,3,0,0,7,7,0,10,26,0,4,4,0
7182,7183,9,34932,0,0,0,0,6,6,2,0,0,0,6,6,0,3,3,1,1,2,1,1,0,7,6,1,23,42,4,4,3,1
42715,42716,42,84245,0,1,1,0,6,5,1,1,0,0,6,6,0,7,6,1,0,24,19,5,0,42,36,6,133,168,14,15,12,3
64234,64235,78,104861,0,0,0,0,2,2,0,2,1,2,0,0,0,2,2,0,0,2,2,0,0,9,9,0,40,71,0,3,3,0
46502,46503,46,66836,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,2,0,2,1,0,1
58210,58211,66,83853,0,2,2,0,4,3,1,1,0,0,5,5,0,6,5,1,0,2,2,1,1,12,11,1,16,15,1,7,6,1
14790,14791,13,58057,0,2,2,0,4,4,0,6,1,6,0,0,0,6,6,0,0,36,36,0,0,288,288,0,907,909,0,11,11,0
51485,51486,55,77725,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1
33295,33296,24,6419,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,7,7,1,1,28,27,1,96,168,17,7,6,1
54481,54482,57,75523,0,0,0,0,6,5,1,2,1,1,4,4,0,6,5,1,0,23,21,2,0,38,33,5,333,311,22,12,11,1
11711,11712,12,75997,0,1,0,1,3,1,2,2,1,1,2,0,2,4,1,3,0,46,5,41,0,146,8,138,509,23,547,23,1,22
