,Unnamed: 0,pr_id,ms_id,has_conflict,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source
58491,58492,68,66335,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,6,5,4,3,21,9,13,241,256,89,4,2,2
15090,15091,13,59153,1,1,1,0,4,3,1,2,1,1,3,3,0,5,4,1,0,28,14,2,2,236,101,22,724,289,75,18,17,1
49883,49884,55,40325,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,3,3,1,1,8,8,2,186,108,76,2,1,1
47195,47196,46,97316,1,2,1,2,0,0,0,1,1,0,1,0,1,2,1,2,1,4,2,3,1,39,5,35,82,16,65,5,2,3
71714,71715,90,125380,1,1,0,1,5,1,4,2,1,1,4,0,4,6,1,5,0,27,4,27,4,198,90,120,4183,782,4477,31,2,29
25851,25852,19,44751,1,2,0,2,7,2,6,0,0,0,9,2,7,9,2,8,1,117,40,90,13,542,64,482,3710,245,7168,144,21,123
40321,40322,36,68040,1,5,1,5,28,1,27,1,1,1,32,1,31,33,2,32,1,104,66,97,59,637,134,575,3691,674,5215,84,11,74
11575,11576,12,73987,1,1,1,1,6,6,1,1,0,0,6,6,0,7,7,2,2,89,84,4,2,284,193,96,31435,23528,20540,49,48,3
34060,34061,25,28825,1,0,0,0,3,2,1,2,1,1,1,1,0,3,2,1,0,133,133,1,1,1170,1165,6,6432,6799,237,39,35,4
15115,15116,13,59218,1,2,1,2,0,0,0,1,1,1,1,0,1,2,1,2,1,14,5,4,2,78,31,9,1296,615,47,4,1,4
11028,11029,12,17265,1,1,1,1,1,1,0,1,0,0,1,1,0,2,2,1,1,24,18,8,2,58,42,17,400,487,42,10,8,2
36405,36406,30,91689,1,1,0,1,6,5,1,0,0,0,7,5,2,7,5,2,0,86,86,2,2,159,158,2,10354,33458,6,28,25,3
50238,50239,55,46030,1,5,5,0,48,48,1,1,0,0,52,52,0,53,53,1,1,308,307,3,2,2096,2093,4,13792,42950,366,1098,1093,5
44833,44834,45,73966,1,1,0,1,42,1,41,1,1,1,42,0,42,43,1,42,0,182,2,182,2,8183,2,8182,76345,6,122661,252,2,250
71913,71914,90,125671,1,2,0,2,2,1,2,2,1,1,2,0,2,4,1,4,1,62,2,61,1,745,2,744,2982,53,3107,21,3,18
63404,63405,77,104987,1,4,1,4,8,0,8,1,1,1,11,0,11,12,1,12,1,53,40,21,8,509,460,61,4219,10016,3483,54,18,36
46635,46636,46,83558,1,1,1,0,4,3,1,1,0,0,4,4,0,5,4,1,0,7,7,2,2,11,10,2,120,118,15,7,5,2
34476,34477,25,74225,1,0,0,0,18,1,18,2,1,1,16,0,16,18,1,18,1,180,3,180,3,3573,98,3489,11461,1138,16163,180,3,179
47869,47870,48,53691,1,1,1,0,3,2,1,1,0,0,3,3,0,4,3,1,0,13,10,4,1,15,11,5,65,23,60,7,5,2
9165,9166,9,91248,1,0,0,0,2,2,2,0,0,0,2,2,0,1,1,1,1,6,5,5,4,32,17,16,81,126,34,2,1,1
39984,39985,33,67827,1,2,2,1,1,1,0,1,0,0,2,2,0,3,3,1,1,16,15,2,1,43,40,5,660,272,386,6,5,1
58054,58055,66,33456,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,2,2,1,1,6,6,2,16,10,4,4,3,1
11901,11902,13,5298,1,2,2,1,0,0,0,2,1,1,0,0,0,2,2,1,1,28,14,2,2,116,53,6,584,412,15,10,9,1
64251,64252,78,104920,1,1,1,0,9,0,9,1,1,1,9,0,9,10,1,9,0,6,2,5,1,30,16,15,141,211,27,11,2,9
64151,64152,78,104585,1,0,0,0,9,1,8,1,1,1,8,0,8,9,1,8,0,4,1,4,1,10,1,10,39,10,53,11,2,9
8993,8994,9,89928,1,0,0,0,24,2,24,0,0,0,24,2,22,12,1,12,1,24,4,24,4,680,80,601,3055,1444,9558,50,3,47
35736,35737,30,2997,1,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,16,15,2,1,43,40,4,145,115,33,3,2,1
4241,4242,7,74788,1,1,0,1,3,1,2,1,1,1,3,0,3,4,1,3,0,4,3,2,1,17,14,4,44,37,6,6,3,3
44672,44673,45,44356,1,1,1,1,3,3,0,1,0,0,3,3,0,4,4,1,1,13,13,1,1,24,23,2,64,52,11,8,7,1
24068,24069,17,79254,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,18,13,8,341,198,140,2,1,1
27537,27538,19,83238,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,23,19,5,1,38,22,17,99,62,52,6,4,2
25766,25767,19,42982,1,3,2,2,12,4,11,1,0,0,14,6,8,15,6,13,4,241,162,89,10,1001,649,357,9246,6913,30303,269,128,141
76129,76130,101,132978,1,2,2,0,26,25,1,2,1,1,26,26,0,28,27,1,0,84,83,3,2,617,615,3,7176,29169,15,128,127,1
73322,73323,95,120424,1,1,0,1,90,1,89,2,1,1,89,0,89,91,1,90,0,150,1,150,1,207,1,207,244649,3,256992,189,1,188
40586,40587,36,71888,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,17,7,11,1,40,21,19,102,53,45,8,4,4
40495,40496,36,70922,1,2,0,2,7,1,6,2,1,1,7,0,7,9,1,8,0,68,2,68,2,184,6,179,622,19,606,17,2,15
50239,50240,55,46084,1,4,4,0,8,8,1,1,0,0,11,11,0,12,12,1,1,73,71,3,1,400,391,10,1796,6508,24,154,153,1
41574,41575,42,6965,1,1,1,1,9,0,9,1,1,1,9,0,9,10,1,10,1,37,12,26,1,59,13,47,216,49,175,20,4,16
