,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,has_conflict
261,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
262,2,2,0,5,5,0,7,0,7,0,0,0,7,7,0,0,0
263,1,1,0,5,4,1,1,0,0,5,5,0,6,5,1,0,0
264,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
265,0,0,0,4,2,2,0,0,0,4,2,2,2,1,1,0,0
266,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
267,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
268,1,1,0,3,0,3,1,1,1,3,0,3,4,1,3,0,0
269,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
270,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
271,1,1,0,2,1,1,2,1,1,1,1,0,3,2,1,0,0
272,0,0,0,55,0,55,55,55,55,0,0,0,55,0,55,0,0
273,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
274,1,1,0,2,2,0,3,1,3,0,0,0,3,3,0,0,0
275,2,2,0,1,1,1,2,1,1,1,1,0,3,3,1,1,0
276,2,2,0,11,11,1,1,0,0,12,12,0,13,13,1,1,0
277,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
278,1,1,0,4,3,1,2,1,1,3,3,0,5,4,1,0,0
279,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
280,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
281,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
282,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
283,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
284,1,1,0,3,2,1,2,1,1,2,2,0,4,3,1,0,0
285,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
286,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
287,2,2,1,2,2,0,1,0,0,3,3,0,4,4,1,1,0
288,2,0,2,7,0,7,9,9,9,0,0,0,9,0,9,0,0
289,0,0,0,12,10,2,0,0,0,12,10,2,6,5,1,0,0
290,1,1,0,2,1,1,1,0,0,2,2,0,3,2,1,0,0
291,1,0,1,4,3,1,2,1,1,3,2,1,5,3,2,0,0
292,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,0
293,1,1,0,1,1,0,2,0,2,0,0,0,2,2,0,0,0
294,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,0,0
295,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
296,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
297,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0
298,0,0,0,4,3,1,1,0,0,3,3,0,4,3,1,0,0
299,1,1,1,4,4,0,1,0,0,4,4,0,5,5,1,1,0
300,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
301,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
302,6,6,2,2,2,0,1,0,0,7,7,0,8,8,2,2,0
303,0,0,0,4,3,1,2,1,1,2,2,0,4,3,1,0,0
304,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
305,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
306,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
307,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
308,2,2,1,2,2,0,1,0,0,3,3,0,4,4,1,1,0
309,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
310,2,1,2,0,0,0,1,1,1,1,0,1,2,1,2,1,0
311,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
312,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
313,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
314,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
315,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
316,5,5,1,2,2,0,1,0,0,6,6,0,7,7,1,1,0
317,1,1,0,4,3,1,1,0,0,4,4,0,5,4,1,0,0
318,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
319,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
320,1,1,0,1,1,0,2,0,2,0,0,0,2,2,0,0,0
321,0,0,0,5,5,1,1,0,0,4,4,0,5,5,1,1,0
322,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
323,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,0,0
324,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
325,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
326,0,0,0,16,16,2,0,0,0,16,16,0,8,8,1,1,0
327,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
328,2,2,0,4,4,0,6,0,6,0,0,0,6,6,0,0,0
329,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
330,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
331,1,1,0,2,2,1,1,0,0,2,2,0,3,3,1,1,0
332,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
333,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
334,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
335,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
336,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
337,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
338,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
339,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
340,0,0,0,3,2,1,2,1,1,1,1,0,3,2,1,0,0
341,5,5,0,12,12,0,17,0,17,0,0,0,17,17,0,0,0
342,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
343,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
344,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
345,1,1,0,9,9,1,2,1,1,8,8,0,10,10,1,1,0
346,2,0,2,7,2,5,0,0,0,9,2,7,9,2,7,0,0
347,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
348,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
349,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
350,1,1,0,2,2,0,3,1,3,0,0,0,3,3,0,0,0
351,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
352,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
353,0,0,0,5,4,1,2,1,1,3,3,0,5,4,1,0,0
354,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
355,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
356,1,1,0,2,2,1,1,0,0,2,2,0,3,3,1,1,0
