,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,has_conflict
2726,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,0
2727,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2728,1,1,0,3,2,1,1,0,0,3,3,0,4,3,1,0,0
2729,2,1,1,1,1,0,2,1,1,1,1,0,3,2,1,0,0
2730,2,2,0,12,11,1,1,0,0,13,13,0,14,13,1,0,0
2731,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
2732,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2733,2,0,2,1,0,1,3,3,2,0,0,0,3,0,3,0,0
2734,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
2735,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0
2736,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,0,0
2737,1,0,1,6,6,0,1,0,0,6,6,0,7,6,1,0,0
2738,1,1,0,1,1,1,1,0,0,1,1,0,2,2,1,1,0
2739,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2740,1,0,1,2,0,2,3,3,3,0,0,0,3,0,3,0,0
2741,3,3,0,10,9,1,2,1,1,11,11,0,13,12,1,0,0
2742,8,8,0,49,49,0,57,0,57,0,0,0,57,57,0,0,0
2743,1,1,0,2,1,1,1,0,0,2,2,0,3,2,1,0,0
2744,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2745,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
2746,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2747,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2748,2,2,1,4,0,4,0,0,0,6,2,4,6,2,5,1,0
2749,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2750,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,0
2751,1,1,0,1,1,0,2,1,2,0,0,0,2,2,0,0,0
2752,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2753,3,2,2,2,1,1,1,0,0,4,2,2,5,3,3,1,0
